date,average_temperature
2022-01-01,18.152450980392164
2022-01-02,17.876470588235303
2022-01-03,17.32990196078431
2022-01-04,17.152941176470588
2022-01-05,17.187254901960777
2022-01-06,17.91127450980391
2022-01-07,18.90196078431374
2022-01-08,20.010539215686276
2022-01-09,20.232352941176455
2022-01-10,21.6517156862745
2022-01-11,21.503676470588253
2022-01-12,19.300735294117654
2022-01-13,20.1514705882353
2022-01-14,18.35367647058822
2022-01-15,18.237499999999997
2022-01-16,17.770588235294117
2022-01-17,16.450980392156875
2022-01-18,16.453921568627436
2022-01-19,16.899509803921568
2022-01-20,17.356862745098052
2022-01-21,18.909068627450974
2022-01-22,18.70196078431372
2022-01-23,19.3389705882353
2022-01-24,18.46176470588235
2022-01-25,19.426960784313724
2022-01-26,19.388480392156875
2022-01-27,18.06593137254902
2022-01-28,16.184803921568644
2022-01-29,16.098284313725486
2022-01-30,16.692156862745104
2022-01-31,18.88186274509803
2022-02-01,19.98995098039214
2022-02-02,20.654656862745103
2022-02-03,22.67009803921571
2022-02-04,20.455637254901934
2022-02-05,18.79460784313725
2022-02-06,17.23970588235295
2022-02-07,18.20539215686274
2022-02-08,19.81078431372549
2022-02-09,20.904166666666633
2022-02-10,20.123039215686262
2022-02-11,19.702205882352924
2022-02-12,18.290686274509802
2022-02-13,18.031372549019608
2022-02-14,18.916911764705887
2022-02-15,19.27573529411765
2022-02-16,19.955882352941167
2022-02-17,20.88700980392159
2022-02-18,21.886274509803926
2022-02-19,21.51544117647061
2022-02-20,21.8
2022-02-21,21.691911764705875
2022-02-22,22.659558823529412
2022-02-23,23.423774509803923
2022-02-24,24.3683823529412
2022-02-25,24.37818627450981
2022-02-26,24.546568627450988
2022-02-27,23.734558823529404
2022-02-28,24.585049019607805
2022-03-01,25.034068627450957
2022-03-02,24.70147058823529
2022-03-03,24.942401960784295
2022-03-04,25.1563725490196
2022-03-05,25.778431372549015
2022-03-06,25.71200980392158
2022-03-07,24.99583333333333
2022-03-08,25.056617647058832
2022-03-09,25.71519607843139
2022-03-10,25.66151960784314
2022-03-11,25.935784313725474
2022-03-12,26.266421568627447
2022-03-13,26.221323529411748
2022-03-14,26.750980392156873
2022-03-15,26.830147058823535
2022-03-16,28.58578431372547
2022-03-17,28.84387254901961
2022-03-18,28.56004901960784
2022-03-19,28.60196078431377
2022-03-20,28.880637254901984
2022-03-21,29.3674019607843
2022-03-22,29.57598039215688
2022-03-23,28.858578431372557
2022-03-24,29.104411764705873
2022-03-25,28.73848039215687
2022-03-26,29.262745098039204
2022-03-27,28.941666666666656
2022-03-28,29.73823529411764
2022-03-29,29.429166666666678
2022-03-30,29.264460784313698
2022-03-31,29.410049019607833
2022-04-01,29.76985294117648
2022-04-02,29.706372549019616
2022-04-03,29.343382352941173
2022-04-04,29.476225490196054
2022-04-05,29.29436274509807
2022-04-06,29.180147058823547
2022-04-07,29.23750000000001
2022-04-08,29.51642156862748
2022-04-09,29.849509803921592
2022-04-10,29.934803921568605
2022-04-11,30.335539215686293
2022-04-12,30.38063725490198
2022-04-13,30.623284313725474
2022-04-14,31.08333333333335
2022-04-15,31.851715686274538
2022-04-16,31.026225490196058
2022-04-17,30.51397058823529
2022-04-18,30.574509803921572
2022-04-19,30.154411764705852
2022-04-20,29.61666666666666
2022-04-21,30.061764705882332
2022-04-22,29.100490196078464
2022-04-23,30.7531862745098
2022-04-24,32.02892156862744
2022-04-25,32.08799019607845
2022-04-26,31.58406862745097
2022-04-27,30.45098039215685
2022-04-28,31.14509803921569
2022-04-29,30.69852941176474
2022-04-30,30.56348039215685
2022-05-01,29.874754901960795
2022-05-02,29.250245098039205
2022-05-03,27.171323529411758
2022-05-04,27.618627450980366
2022-05-05,26.29215686274507
2022-05-06,27.804411764705897
2022-05-07,28.59068627450978
2022-05-08,29.472794117647055
2022-05-09,26.832107843137223
2022-05-10,27.426470588235276
2022-05-11,27.90049019607843
2022-05-12,29.440441176470618
2022-05-13,30.196568627450986
2022-05-14,30.59044117647056
2022-05-15,30.749509803921583
2022-05-16,30.84583333333335
2022-05-17,30.909313725490204
2022-05-18,31.069117647058857
2022-05-19,31.272794117647052
2022-05-20,31.511764705882346
2022-05-21,30.774019607843123
2022-05-22,29.557107843137228
2022-05-23,29.25588235294116
2022-05-24,28.82352941176471
2022-05-25,28.261274509803926
2022-05-26,30.029166666666683
2022-05-27,30.59436274509803
2022-05-28,30.732598039215713
2022-05-29,30.08529411764707
2022-05-30,29.888235294117685
2022-05-31,29.434068627451012
2022-06-01,29.308333333333323
2022-06-02,29.61323529411763
2022-06-03,30.411764705882383
2022-06-04,31.407107843137254
2022-06-05,31.3
2022-06-06,31.300245098039223
2022-06-07,31.768382352941185
2022-06-08,31.866421568627448
2022-06-09,31.246568627450994
2022-06-10,30.64068627450983
2022-06-11,31.30539215686277
2022-06-12,32.0203431372549
2022-06-13,32.38137254901958
2022-06-14,31.71862745098041
2022-06-15,29.899264705882356
2022-06-16,29.85514705882355
2022-06-17,29.329656862745093
2022-06-18,27.603431372549043
2022-06-19,28.220588235294123
2022-06-20,27.583578431372537
2022-06-21,28.41691176470589
2022-06-22,27.47598039215688
2022-06-23,28.049019607843142
2022-06-24,28.091911764705877
2022-06-25,27.795098039215674
2022-06-26,28.43284313725492
2022-06-27,29.06029411764705
2022-06-28,29.49999999999999
2022-06-29,28.848039215686303
2022-06-30,28.53186274509804
2022-07-01,27.427205882352936
2022-07-02,27.162009803921595
2022-07-03,27.672303921568616
2022-07-04,28.687990196078417
2022-07-05,28.7051470588235
2022-07-06,28.397058823529417
2022-07-07,28.95931372549017
2022-07-08,28.814950980392144
2022-07-09,28.65294117647059
2022-07-10,28.505147058823532
2022-07-11,28.758578431372545
2022-07-12,29.000735294117675
2022-07-13,28.943627450980376
2022-07-14,28.57769607843137
2022-07-15,28.718382352941187
2022-07-16,28.829166666666655
2022-07-17,28.92230392156863
2022-07-18,29.103186274509806
2022-07-19,29.26053921568629
2022-07-20,29.434068627450976
2022-07-21,28.915196078431375
2022-07-22,28.80710784313722
2022-07-23,27.581127450980414
2022-07-24,27.40539215686274
2022-07-25,27.041176470588244
2022-07-26,27.305392156862744
2022-07-27,28.079901960784316
2022-07-28,29.061519607843103
2022-07-29,29.35539215686273
2022-07-30,29.647794117647067
2022-07-31,29.58112745098042
2022-08-01,28.74656862745095
2022-08-02,28.399509803921564
2022-08-03,27.989460784313728
2022-08-04,27.827941176470578
2022-08-05,28.620588235294136
2022-08-06,28.27132352941178
2022-08-07,28.687745098039187
2022-08-08,27.80392156862743
2022-08-09,26.66838235294117
2022-08-10,26.655882352941187
2022-08-11,26.410049019607836
2022-08-12,27.53039215686274
2022-08-13,27.950000000000006
2022-08-14,26.475245098039213
2022-08-15,27.928676470588222
2022-08-16,29.12965686274508
2022-08-17,29.09999999999998
2022-08-18,29.238480392156834
