date,average_pm25
2022-01-01,86.39222222222222
2022-01-02,111.5075
2022-01-03,102.05444444444443
2022-01-04,128.26166666666666
2022-01-05,138.53637681159415
2022-01-06,83.9920833333333
2022-01-07,82.78319444444443
2022-01-08,69.58661971830985
2022-01-09,60.354571428571425
2022-01-10,67.27214285714288
2022-01-11,75.9765625
2022-01-12,57.74945652173912
2022-01-13,64.41458823529412
2022-01-14,72.35352941176473
2022-01-15,69.16865853658535
2022-01-16,83.04855421686747
2022-01-17,92.27364583333338
2022-01-18,92.96145833333337
2022-01-19,96.24062500000002
2022-01-20,98.39562499999994
2022-01-21,97.40021052631576
2022-01-22,101.55947916666668
2022-01-23,135.5517204301075
2022-01-24,91.33937500000002
2022-01-25,116.30510638297869
2022-01-26,93.81312500000003
2022-01-27,79.31177083333333
2022-01-28,78.01708333333336
2022-01-29,86.34208333333329
2022-01-30,70.72020833333333
2022-01-31,65.1462222222222
2022-02-01,54.50888888888888
2022-02-02,62.839230769230774
2022-02-03,49.800277777777794
2022-02-04,30.107499999999998
2022-02-05,54.39578313253011
2022-02-06,62.64083333333331
2022-02-07,59.75904761904758
2022-02-08,66.70645833333334
2022-02-09,62.131086956521756
2022-02-10,54.68291666666665
2022-02-11,79.12987951807231
2022-02-12,59.142291666666694
2022-02-13,61.32526315789473
2022-02-14,64.71166666666667
2022-02-15,65.90989583333332
2022-02-16,66.76114583333336
2022-02-17,71.25208333333335
2022-02-18,69.31416666666665
2022-02-19,63.32968750000003
2022-02-20,70.37627659574467
2022-02-21,61.52247191011237
2022-02-22,71.34614583333335
2022-02-23,66.70578947368418
2022-02-24,65.27752688172042
2022-02-25,68.09854166666665
2022-02-26,67.43906249999998
2022-02-27,62.59968421052632
2022-02-28,52.75510416666666
2022-03-01,66.36312500000001
2022-03-02,65.6097196261682
2022-03-03,68.13808333333333
2022-03-04,66.97800000000001
2022-03-05,71.96296610169492
2022-03-06,57.447521367521404
2022-03-07,61.70825000000001
2022-03-08,65.57094827586205
2022-03-09,65.86846153846153
2022-03-10,68.5175652173913
2022-03-11,62.64768518518518
2022-03-12,66.54142857142858
2022-03-13,64.19769230769231
2022-03-14,69.76781512605041
2022-03-15,70.6808823529412
2022-03-16,61.93933333333335
2022-03-17,60.03811594202899
2022-03-18,54.885328467153286
2022-03-19,52.85816176470587
2022-03-20,52.07941605839415
2022-03-21,49.66345588235295
2022-03-22,53.25467153284673
2022-03-23,58.43218978102192
2022-03-24,60.03321167883211
2022-03-25,61.061347517730496
2022-03-26,60.721666666666664
2022-03-27,60.77104761904763
2022-03-28,62.60908045977012
2022-03-29,63.00846846846846
2022-03-30,55.02931623931625
2022-03-31,54.655726495726505
2022-04-01,58.131249999999994
2022-04-02,52.1782857142857
2022-04-03,48.63482014388489
2022-04-04,46.763958333333335
2022-04-05,46.03701298701297
2022-04-06,46.90724550898203
2022-04-07,46.3057055214724
2022-04-08,40.09110429447851
2022-04-09,33.33182926829268
2022-04-10,36.65115151515151
2022-04-11,43.5155828220859
2022-04-12,45.546303030303044
2022-04-13,39.12121951219513
2022-04-14,46.034938271604965
2022-04-15,54.437243589743595
2022-04-16,49.5648125
2022-04-17,45.26093167701863
2022-04-18,46.95050632911393
2022-04-19,42.59264367816092
2022-04-20,47.74999999999997
2022-04-21,41.98929729729729
2022-04-22,43.32648648648649
2022-04-23,50.94821229050278
2022-04-24,46.707159090909066
2022-04-25,49.085649717514144
